COLLEGE_NAME,ADDRESS,DISTRICT,STATE,OFFICE_NUMBER,EMAIl,WEBSITE_LINK
Shree Hanuman Vyayam Prasark Mandal's P.G. Department  of Computer Science & Technology| Amravati,Hanuman Vyayam Prasarak Mandal|  Hanuman Vyayam Nagar| Amravati,Amravati,Maharashtra,2573258//,coco_mca@hvpm.org,www.hvpm.org
Sipna Shikshan Prasarak Mandal College of Engineering & Technology| Amravati,Sipna campus| Infront of Nemani Godown| Badnera Rd.| Amravati,Amravati,Maharashtra,2522342//2522343,sipnaoffice@gmail.com,www.sipnaengg.ac.in
Shri Shivaji Education Society's College of Engineering and Technology| Akola,Babhulgaon(Jn)| Murtizapur Road| National Highway No. 6| Akola,Akola,Maharashtra,2259069//2456688,principalcoeta@gmail.com,www.coeta.ac.in
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering| Pusad,Kalra Road| Pusad  Dist Yavatmal,Yavatmal,Maharashtra,245229//245229,principal@bncoepusad.ac.in,www.bncoepusad.ac.in
Paramhansa Ramkrishna Maunibaba Shikshan Santha's | Anuradha Engineering College| Chikhali,Anuradhha Nagar| Sakegaon Road| Chikhali Dist. Buldhana,Buldhana,Maharashtra,242063//242580,annprincipal55@gmail.com,www.aecc.ac.in
Jawaharlal Darda Institute of Engineering and Technology| Yavatmal,MIDC| Lohara| Amaravati Road| Yavatmal,Yavatmal,Maharashtra,7447797962//7447797963,jdiet_yml@bsnl.in,www.jdiet.ac.in
Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology| Amravati,Hanuman Vyayam Nagar| H.V.P.M. Campus| Amravati,Amravati,Maharashtra,2563422//2563422,principal@hvpmcoet.in,www.hvpmcoet.in
Dr. Bhausaheb Nadurkar College of Engineering| Waghapur|Yavatmal,Shri Saty Sai Krida Nagari| Waghapur Road| Yavatmal,Yavatmal,Maharashtra,246162//246166,dbncoetytl@gmail.com,www.dbncoet.ac.in
Dr.Rajendra Gode Institute of Technology & Research| Amravati,University Mardi Road| Opp. Heart Hospital| Amravati,Amravati,Maharashtra,2970275//,principal_coe@rediffmail.com,www.drgitr.com
G.H. Raisoni college of Engineering & Management| Amravati,Anjangaon| Bari Road| Amravati,Amravati,Maharashtra,2385432//2385429,vijay.rathod@raisoni.net,ghrcema.raisoni.net
Dwarka Bahu Uddeshiya Gramin Vikas Foundation| Rajarshri Shahu College of Engineering| Buldhana,Rajarshi Shahu Nagar| Near Palna Ghar| Sagwan Road|  Buldhana,Buldhana,Maharashtra,287167//242080,rsc_engg@rediffmail.com,www.rsce.ac.in
Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology| Darapur| Amravati,Darapur| Taluka. Daryapur| Amravati,Amravati,Maharashtra,7720032432//,principal.kgiet@gmail.com,www.kgiet.ac.in
Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology| Yavatmal,Sr. No.167/1|167/2 &163/|Arni Road| Mauza-Kinhi|Tal & Dist-Yavatmal,Yavatmal,Maharashtra,244226//244226,principal@jcoet.org,www.jcoet.org
Prof Ram Meghe College of Engineering  and Management| Badnera,New Express Highway| Badnera Dist. Amravati,Amravati,Maharashtra,2580373//2578385,principal@prmceam.ac.in,www.prmceam.ac.in
Dhamangaon Education Society's College of Engineering and Technology| Dhamangaon,Knowledge Hub| Anjansingi Road| Dhamangaon RlY. Station| Amravati,Amravati,Maharashtra,237335//237335,desdcoet@rediffmail.com,www.descoet.org
Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies| Yelgaon,Chikhali Road| Post Yelgaon| Tal & Buldhana,Buldhana,Maharashtra,//,principal_plit@rediffmail.com,www.plit.ac.in
P. R. Pote Patil Institute of Engineering & Research| At  Kathora| Amravati,Kathora Road| Pote Estate| Mu. Kathora Ta. Dist Amravati,Amravati,Maharashtra,2970408//2970111,prpatilengineering@gmail.com,www.prppier.ac.in
Sanmati Engineering College| Sawargaon Barde| Washim,Survey no. 40| Washim-Malegaon Road| At. Post  Sawargaon Barde Dist. Washim,Washim,Maharashtra,234302//233090,engineering@sanmati.in,www.sanmati.in
Padmashri Dr. V.B.  Kolte College of Engineering| Malkapur| Buldhana,Malkapur| Dist. Buldhana,Buldhana,Maharashtra,226700//224943,coemalkapur@rediffmail.com,www.coemalkapur.ac.in
Bhonsla College of Engineering & Reasearch| Akola,Survey No. 65| Mouza - Hingna Barlingna| Akola-Washim Highway| Tah. & Dist. Akola.,Akola,Maharashtra,6090111//,bim.ngp@gmail.com,www.bhonslacer.org
Mauli Group of Institutions| College of Engineering and Technology| Shegaon.,Khamgaon Road| Shegaon Dist. Buldhana,Buldhana,Maharashtra,7722027506//7722027506,maulicoet@gmail.com,www.mauligroup.org
Harikisan Maloo Institute Of Management & Technology| Amravati,Opp. Deshmukh Lawns| Shegaaon Rahatgaon Road| Amravati.,Amravati,Maharashtra,2970119//90968111,hcminstmngtech@gmail.com,www.maloogroup.org
Pratap Institute of Management & Technology| Washim.,Gat No. 89 & 90| Mauza Walki| Risod Road| Washim,Washim,Maharashtra,288919//288919,pimt.washim@gmail.com,www.pimtwashim.org
Siddhivinayak Technical Campus| School of Engineering & Research Technology| Shirasgon| Nile,Gat No.133|134 & 140| Shegaon Khamgaon Road| Shirasgaon| Nile| Tal. Shegaon,Buldhana,Maharashtra,220222//220333,admn.stc@gmail.com,www.stc.org.in
Manav School of Engineering & Technology| Gut No. 1035 Nagpur Surat Highway| NH No. 6 Tal.Vyala| Balapur| Akola|  444302,Gut No.1035| Surat Nagpur Highway Vyala| Tal.Balapur| Akola,Akola,Maharashtra,238406//238406,principal@manavengineering.ac.in,www.manavengineering.ac.in
Let.Dr.D.B.Dod College of Engineering| Jambla|Achalpur,Sr.No.32/4 | Mauja Jambla| Anjangaon Road| Paratwada Tal. Achalpur Dist. Amravati,Amravati,Maharashtra,225503//9970931278,drdbdod@rediffmail.com,www.dbdcoe.org
Government College of Engineering|  Aurangabad,Station Road| Osmanpura|  Aurangabad,Aurangabad,Maharashtra,2366111//2366111,principalgeca@yahoo.com,www.geca.ac.in
Shri Guru Gobind Singhji Institute of Engineering and Technology| Nanded,Vishnupuri| Nanded,Nanded,Maharashtra,229234//229234,director@sggs.ac.in,www.sggs.ac.in
University Department of Chemical Technology| Aurangabad,Dr. Babasaheb Ambedkar Marathwada University Campus| Aurangabad,Aurangabad,Maharashtra,2403308//2403307,udctaurangabad@yahoo.co.in,www.bamu.net
Shree Yash Pratishthan| Shreeyash College of Engineering and Technology| Aurangabad,Gut No. 258 (P)| Satara Tanda| Tal & Dist. Aurangabad,Aurangabad,Maharashtra,6608701//6608702,sycet@yahoo.com,www.syp.ac.in
G. S. Mandal's Maharashtra Institute of Technology| Aurangabad,N.H. No. 211|Beed bypass Road| Satara| Aurangabad,Aurangabad,Maharashtra,2375222//2375222,spbhosle2001@gmail.com,www.mit.asia
Deogiri Institute of Engineering and Management Studies| Aurangabad,Deogiri College Campus| Railway Station Road| Aurangabad,Aurangabad,Maharashtra,2367575//2367567,shiurkar@gmail.com,www.dietms.org
Shree Sharda Bhavan Education Society's Institute of Technology & Management| Nanded,Yashwant College Campus| VIP Road Nanded|(MS) 431602,Nanded,Maharashtra,254850//253471,ssbesitm@yahoo.com,www.ssbesitm.org
