COLLEGE_NAME,ADDRESS,DISTRICT,STATE,OFFICE_NUMBER,EMAIl,WEBSITE_LINK
Vasavi College of Engineering,9-5-81; Ibrahimbagh Hyderabad Hyderabad - 500031 Hyderabad (Dist) Andhra Pradesh,HYDERABAD,Andhra Pradesh,040 - 23513317 23517740/,principal@staff.vce.ac.in,http://www.vce.ac.in/
Maheshwar Engineering College,Chitkul Village Patancheru (mandal) Pincode - 502319 Medak (Dist) Andhra Pradesh,MEDAK,Andhra Pradesh,08455-200053/ 08455-200093,mecmes1999@yahoo.com//  principal.mec@gmail.com,http://www.mecp.net.in/
Anil Neerukonda Institute of Technology and Science,Sangivalasa Village Bheemunipatnam; Visakhapatnam Visakhapatnam - 531162 Visakhapatnam (Dist) Andhra Pradesh,VISAKHAPATNAM,Andhra Pradesh,08933-225083/225084,principal@anits.edu.in,www.anits.edu.in
Vaagdevi Engineering College,Bollikunta Near Mamoonoor Camp 37; M-24; Warangal Pincode - 506005 Warangal (Dist) Andhra Pradesh,WARANGAL,Andhra Pradesh,0870-2865182/183,,www.vagdevieng.com
V. R. Siddhartha Engineering College,Kanuru; Vijayawada Pincode - 520007 Krishna (Dist) Andhra Pradesh,KRISHNA,Andhra Pradesh,+91 866 2582333/2584930,principal@ssims.edu.in,http://www.vrsiddhartha.ac.in/
Vijay Instt. of Tech.& Science,Post: Markal Mandal Sadasiv Nagar Manda Kamareddy;revenue Divison Pincode - 503145 Nizamabad (Dist) Andhra Pradesh,NIZAMABAD,Andhra Pradesh,326484/ 326869 (08468),vits_online@yahoo.co.in,http://www.vitsedu.in/
Vijaya Engineering College,Ammapalem Thanikella Konijerla (m) Pincode - 507305 Khammam (Dist) Andhra Pradesh,KHAMMAM,Andhra Pradesh,9666003159,hod@veccse.co.in,www.veccse.co.in/
Vijaya Rural Engineering College,Das Nagar Makloor Pincode - 503003 Nizamabad (Dist) Andhra Pradesh,NIZAMABAD,Andhra Pradesh,08462 280157/ 280175,vrec.29.nzb@gmail.com,http://www.vrecedu.in/
Aditya Engineering College| East Godavari.,Surampalem Peddapuram Peddapuram - 533437 East Godavari (Dist) Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,91-8852-252243/ 252250,adityaengineering@yahoo.com,www.aec.edu.in
Jyothi Engineering College Andhra Pradesh,Inole Village Patancheru Mandal Medak - 502319 Medak (Dist) Andhra Pradesh,MEDAK,Andhra Pradesh,,,
Vidya Jyothi Institute of Technology,C.b. Post; Himayatnagar Village Moinabad Hyderabad - 500075 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,,vjithyd@gmail.com,http://vjit.ac.in/college
Alfa College Of Engineering & Technology,Kandukurmetla Allagadda Kurnool - 518543 Kurnool (Dist) Andhra Pradesh,KURNOOL,Andhra Pradesh,-283806.6755,alphacet2009@gmail.com,http://www.alpha-cet.in
JNTU College of Engineering,Pincode - 515002 Anantapur (Dist) Andhra Pradesh,ANANTAPUR,Andhra Pradesh,08554-272433,principaljntuacea@gmail.com//  ak,www.jntua.ac.in/
Jyothishmathi College of Engineering and Technology,Thurkapally Village Shamirpet Mandal Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,9849302525/ 8897111222,jcetech@yahooo.co.in,http://www.jcetech.in/
Vidya Bharathi Institute Of Technology,Pembarthi Village Jangaon Pincode - 506167 Warangal (Dist) Andhra Pradesh,WARANGAL,Andhra Pradesh,08716 288146/ 08716 288289,webmaster_vbit@yahoo.com // vbit_placements@yahoo.co,http://www.vbit.co.in/
Lakireddy Bali Reddy College of Engineering,Lb Reddy Nagar Pincode - 521 230 Krishna (Dist) Andhra Pradesh,KRISHNA,Andhra Pradesh,08659 - 222933 / 222934/ 223936,lbcemym@lbrce.ac.in,http://www.lbrce.ac.in/
Velagapudi Ramakrishna Siddhartha Engineering College,Kanuru Pincode - 520007 Krishna (Dist) Andhra Pradesh,KRISHNA,Andhra Pradesh,+91 866 2582333/2584930,gsr@vrsiddhartha.ac.in//  principal@vrsiddhartha.ac.,http://www.vrsiddhartha.ac.in/
Jyothishmathi Institute of Tech & Science,Nustulapur Village Thimmapur Pincode - 505481 Karimnagar (Dist) Andhra Pradesh,KARIMNAGAR,Andhra Pradesh,0878-2223716/2223717.,jitswebmasters@gmail.com sysadmin@jits.ac.in,http://www.jits.ac.in/
Visvesvaraya College of Engineering Technology,Patelguda Village Ibrahimpatnam Pincode - 500079 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,08414-252677/ 392/ 393,vcethyd@yahoo.com,www.vcethyd.ac.in
JB Institute of Engineering & Technology,Survey No.220;venkapally Village Moinabad Pincode - 500075 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,08413-235127,krishnarao_jv@rediffmail.com,http://www.jbiet.edu.in/
Vathsalya Institute of Science & Technology,1-3-426/1b; Banjara Hills Bhongir Bhongir - 508116 Nalgonda (Dist) Andhra Pradesh,NALGONDA,Andhra Pradesh,,,
Jayamukhi Institute of Technology Science,Moqdumpuram Village Chennaraopet Mandal Pincode - 506332 Warangal (Dist) Andhra Pradesh,WARANGAL,Andhra Pradesh,08718-222568/222570/208586,jayamukhic4@yahoo.co.in//  jayadevgyani@yahoo.com//  a,http://www.jits.in/
Vasireddy Venkatadri Institute of Technology,Numburu (v) Gollamuddi Road Dedakakani (m) Pincode - 522508 Guntur (Dist) Andhra Pradesh,GUNTUR,Andhra Pradesh,0863 2118036,admin@vvitguntur.com,http://www.vvitguntur.com/
Akula Sree Ramulu College of Engineering,Tekali; Pydiparru By-pass Road;tanuku Pincode - 534211 West Godavari (Dist) Andhra Pradesh,WEST GODAVARI,Andhra Pradesh,08819-210166,asrcoe_tnk@yahoo.co.in,www.asrgroup.co.in
Akula Gopayya College of Engineering & Technology,Nh-5; Y-junction Prathipadu Tadepalligudem Tadepalligudem - 534146 West Godavari (Dist) Andhra Pradesh,WEST GODAVARI,Andhra Pradesh,08818-281399,thota@yahoo.com,www.asrgroup.co.in
Vidya Vikas Institute of Technology,Survey No. 103 & 104 Chevalla Mandal Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,-251548,principal_vvit@yahoo.co.in,www.vvit.in/
Vignan''s Institute of Technology and Aeronautical Engineering,Vignan Hills;deskhmukhi Village; Pochampally Manda Pincode - 508284 Andhra Pradesh,,Andhra Pradesh,,info@vignanitae.ac.in,http://www.vignanitae.ac.in/
KSRM College of Engineering,H.no.3/429; Raja Reddy Street Yerramasupalli Village Cuddapah Cuddapah - 516003 Ysr District (Dist) Andhra Pradesh,YSR DISTRICT,Andhra Pradesh,,info@ksrmce.ac.in,www.ksrmce.ac.in
Joginpally B.R. Engineering College,Survey No.220; Himayat Nagar Yenkapally Moinabad Pincode - 500075 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,+91 40 2330 1523/ 2339 1979,principal@jbrec.edu.in,http://www.jbrec.edu.in/
Vazir Sultan College of Engineering,Near Vv Palem Younis Sultan Campus Pincode - 507318 Khammam (Dist) Andhra Pradesh,KHAMMAM,Andhra Pradesh,:08742 210064,vsce95@yahoo.co.in,www.apengineeringcolleges.info
Mahatma Gandhi Institute of Technology,Kokapet Village & Gram Panchayat Rajendra Nagar Pincode - 500075 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,040 - 24193057,principal@mgit.ac.in,http://www.mgit.ac.in/
Mahaveer Institute of Science & Technology,Vyasapuri; Bandlaguda; Post: Keshavgiri; Pincode - 500005 Hyderabad (Dist) Andhra Pradesh,HYDERABAD,Andhra Pradesh,040 - 20020773 / 040 - 24455001 / 040 - 24455002 /,,www.mist.ac.in
Viswa Bharathi P.G.College of Engineering & Management,Sy.no.19; Brindavan Colony Nizampet Road Kukatpally Hyderabad Hyderabad (Dist) Andhra Pradesh,HYDERABAD,Andhra Pradesh,,viswabharathi@rediffmail.com,http://www.vbpgenggmgt.com
Madina Engineering College,Near Airport Kamalapuram Road Cuddapah Pincode - 516003 Ysr District (Dist) Andhra Pradesh,YSR DISTRICT,Andhra Pradesh,-8787367674,madina@hd2.vsnl.net.in,www.madinaengg.org
Vanjari Seethaiah Memorial Engineering College - Engineering Colleges,Bandla Guda Hyderabad - 500005 Hyderabad (Dist) Andhra Pradesh,HYDERABAD,Andhra Pradesh,,ssethaiahenggcollege@gmail.com,
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering,Batchupally; Via A.i.e Bollaram Bollaram - 502325 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,,,
Adam's Engineering College,Seetharamapatnam Paloncha Hyderabad - 507115 Khammam (Dist) Andhra Pradesh,KHAMMAM,Andhra Pradesh,91-08744-53001,adams_engg@yahoo.co.in,www.adamsenggcollege.ac.in
Amrita Sai Institute of Science & Technology,Near Hanuman Statue Nh-9 Amirta Sai Nagar;paritala(po) Krishana(dt);andhra Pradesh Krishna - 521180 Krishna (Dist) Andhra Pradesh,KRISHNA,Andhra Pradesh,+91-08678 201077/201055/201088,asist@amritasai.org.in,www.amritasai.org.in
Vallurupalli Nageshwara Rao Vignana Jyothi Institute of Engineering & Technology,Vignana Jyothi Nagar Bachupally Pincode - 500090 Hyderabad (Dist) Andhra Pradesh,HYDERABAD,Andhra Pradesh,040 23042575,placements@vnrvjiet.ac.in //  pardha@vnrvjiet.in,http://www.vnrvjiet.ac.in/
Madanapalle Institute of Technology & Science,10th Km Angallu (v) Kurabalakota (m) Madanapalli Pincode - 517325 Chittoor (Dist) Andhra Pradesh,CHITTOOR,Andhra Pradesh,-9160020381,principalmits@yahoo.com,http://www.mits.ac.in/
Madhira Institute of Technology and Science,Madhira Nagar;paleannaram Village Chilkur Kodad Pincode - 508238 Nalgonda (Dist) Andhra Pradesh,NALGONDA,Andhra Pradesh,08683-216024/ 9391352677,mits_g7@yahoo.co.in,http://www.mitskodad.ac.in/
Vaishnavi Institute of Technology,Thanapally (v) Kuntrpakkam Post Pincode - 517561 Chittoor (Dist) Andhra Pradesh,CHITTOOR,Andhra Pradesh,-9248050131,vit.tirupati@gmail.com,www.vitt.edu.in/
B.I.T Institute of Technology,S.no.284-1; Malgur Village Hindupur Pincode - 515212 Anantapur (Dist) Andhra Pradesh,ANANTAPUR,Andhra Pradesh,08556 - 249677,principal.bitit@gmail.com,www.bitit.org
St. Mary's College of Engineering and Technology,S.no.13 & 187 Deshmukhi Village Pochampally Pincode - 508284 Nalgonda (Dist) Andhra Pradesh,NALGONDA,Andhra Pradesh,040-65799093/ 040-24028676,admissions@stmarysengg.org,http://www.stmarysgroup.com/
National Institute of Fire Engineering & Safety Management,#9-1-55/1; 2nd Floor; Cmr Central Road; Opp:swarna Bharathi Indoor Stadium Out Gate Visakhapatnam Visakhapatnam - 530013 Warangal (Dist) Andhra Pradesh,WARANGAL,Andhra Pradesh,0891-6527957 / 6647164 / 6667444/,headoffice@nifsindia.com,http://www.nifsindia.net
Raja Mahendra College of Engineering|,Cherlapatelguda Kalsa;ibrahimpatnam Pincode - 501506 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,08414 - 224056/ 223954,rmce_2001@sify.com,http://www.rajamahendra.org/
Chadalawada Ramanamma Engineering College,Chadalawada Nagar Renigunta Road Tirupati Tirupati - 517506 Chittoor (Dist) Andhra Pradesh,CHITTOOR,Andhra Pradesh,-9408213757,c.sucharitha9@gmail.com,http://www.crectirupati.com
Chaitanya Bharathi Institute of Technology,Cbit Post;gandipet Hyderabad Hyderabad - 500075 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,91-8413-233356,admin@cbit.ac.in// raobck@rediffmail.com,www.cbit.ac.in
Chaitanya Engineering College,Chaitanya Valley Kommadi Village Madhurawada Pincode - 530041 Visakhapatnam (Dist) Andhra Pradesh,VISAKHAPATNAM,Andhra Pradesh,0891-2793111/2793777,chaitanya.kommadi@gmail.com,www.cec.ac.in/
Chaitanya Institute of Engineering & Technology,Velugubanda (v) Rajanagaram Rajamundry Pincode - 533294 East Godavari (Dist) Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,0883-6577446/ 9652929111,principal_t9@yahoo.co.in,http://www.cietrjy.com/
Chaitanya Institute of Science & Technology,Madhavapatnam Samalkota East Godavari (Dist) Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,0884-2344445 / 9394200006 / 9849146655,principal_cist@rediffmail.com,http://www.cist.in/
Chalapathi Institute of Engineering & Technology,Chalapathi Nagar Lam Pincode - 522034 Guntur (Dist) Andhra Pradesh,GUNTUR,Andhra Pradesh,0863- 2524112/ 113,principal@chalapathiengg.ac.in,http://www.chalapathiengg.ac.in/
Jatipita College of Engineering,Mayala Village Adilabad Adilabad - 504002 Adilabad (Dist) Andhra Pradesh,ADILABAD,Andhra Pradesh,,,
Amina Institute Of Technology,Kandlakoia (v) Medchal Mandal Medchal Mandal Pincode - 501401 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,90.90868137,pavangoud.kotha@gmail.com,http://www.amina.in/
Loyola Institute of Technology And Managemen,Dhulipalla Village Sattenapalli Pincode - 522412 Guntur (Dist) Andhra Pradesh,GUNTUR,Andhra Pradesh,08641 ? 214555/ 08641 ? 214899/,litam@rediffmail.com,http://www.litam.ac.in/
Lord's Institute of Engineering and Technology,Survey .no.32; Himayat Sagar Hyderabad West Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,-65354788,principal.lords@gmail.com,http://www.lordsinstitute.in/
University College of Engineering Osmania,Hyderabad Pincode - 500007 Hyderabad (Dist) Andhra Pradesh,HYDERABAD,Andhra Pradesh,91 40 27098254/ 91 40 27682384,uceouaa@gmail. com,http://www.uceou.edu/
Maheshwara Institute of Technology,Chitkul Village Patancheru Pincode - 502319 Medak (Dist) Andhra Pradesh,MEDAK,Andhra Pradesh,(08455) 200091/92/93,maheshwarainstitutions@yahoo.com,http://www.mith.ac.in/
Vaageswari College Of Engineering,Lmd Police Statton Ramakrishna Colony Karimnagar Pincode - 505481 Karimnagar (Dist) Andhra Pradesh,KARIMNAGAR,Andhra Pradesh,0878 2223653,s4.principal@gmail.com,www.vaageswaricolleges.com
Malineni Lakshmaiah Engineering College,Kanumalla Village Singarayakonda Mandal Kandukur Pincode - 523101 Prakasam (Dist) Andhra Pradesh,PRAKASAM,Andhra Pradesh,0863-2286126,Principal_ke@yahoo.com,http://www.malinenicolleges.ac.in/
Annamacharya Institute of Tech. & Science,New Boyanapalli Utukur (p); Chinthakomma Dinne (v & M); Kadapa Cuddapah - 516126 Ysr District (Dist) Andhra Pradesh,YSR DISTRICT,Andhra Pradesh,08562 - 201003,aitskadapa@gmail.com,www.aitskadapa.ac.in
Annamacharya Institute of Technology & Science Cuddapah,Thallapaka (panchayath) New Boyanapalli (post) Renigunta Mandal Visakhapatnam - 516126 Chittoor (Dist) Andhra Pradesh,CHITTOOR,Andhra Pradesh,,Annamacharya Institute of Technology & Science Cuddapah,
Annamacharya Institute Of Technology & Science| Piglipur,Piglipur; Bata Singaram (panchayat) Hayath Nagar (m) Hayathnagar - 501512 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,-210013,principalaith@gmail.com // aits.tpo@gmail.com,www.aits-hyd.org
Malla Reddy College of Engineering & Technology,Maisammaguda Gundlapochampallymedchal Pincode - 501401 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,+91 40 65969674,adminmriet@gmail.com,www.mriet.ac.in/
TRR Engineering College,Sy.no.39; Inole Village Patancheru Pincode - 502319 Medak (Dist) Andhra Pradesh,MEDAK,Andhra Pradesh,040-6636 4634 / 35,info@trrinstitutions.com,http://www.trrec.com/
JNTU College of Engineering Andhra Pradesh,Kukatpally Hyderabad Pincode - 500072 Hyderabad (Dist) Andhra Pradesh,HYDERABAD,Andhra Pradesh,+91-040-2315 8661 to 2315 8664,info@jntuceh.ac.in.,www.jntuh.ac.in/
Intel Engineering College,Yerripalli Village Bathalapalli (m) Dharmavaram Pincode - 515001 Anantapur (Dist) Andhra Pradesh,ANANTAPUR,Andhra Pradesh,(08554) 270968/ 270652,intelleng@yahoo.co.in,www.intellengg.ac.in/
Vaagdevi Institute of Tech & Science,Peddasettipally Village Proddatur Pincode - 516361 Ysr District (Dist) Andhra Pradesh,YSR DISTRICT,Andhra Pradesh,9490715069/ 9573322505,vitspdtr@gmail.com,http://www.vitspdtr.ac.in/
Hi-Point College of Engineering & Technology,Chilkoor Village Moinabad Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,08417-253044 to 08417-253046,info@hipointcollege.com,http://www.hipointcollege.com/
Lenora College of Engineering,Irlapalli Rampachodavaram Pincode - 533288 East Godavari (Dist) Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,08864 - 243434,info@lce.ac.in,www.lce.ac.in
Vision Institute of Science and Technology,Bapatla Bapatla - 522101 Guntur (Dist) Andhra Pradesh,GUNTUR,Andhra Pradesh,,,
Vardhaman College of Engineering,Kacharam Village Shamshabad Shamshabad - 501218 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,040-64582470,info@vardhaman.org,www.vardhaman.org
Jaya Prakash Narayan College of Engineering,Dharmapur Pincode - 509001 Mahabubnagar (Dist) Andhra Pradesh,MAHABUBNAGAR,Andhra Pradesh,-8451.011616,inquiry@jpnce.ac.in,www.jpnce.ac.in
Visakha Institute of Engineering & Technology,A Division Of Swarnanandhara Group Of Colleges 57 Pincode - 530 027 Visakhapatnam (Dist) Andhra Pradesh,VISAKHAPATNAM,Andhra Pradesh,103.2167252,,http://www.vspt.co.in/
Amara Institute of Engineering & Technology,Satuluru (post) Narasaraopet Guntur - 522549 Guntur (Dist) Andhra Pradesh,GUNTUR,Andhra Pradesh,08647 ? 230362/ 9849318690,aietnrt@gmail.com,www.aietnrt.in
Jawaharlal Nehru Institute of Technology,Adarsh Farm Mangalpalli Patel Guda (v) Ibrahimpatnam Mandal Ibrahimpatnam - 501510 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,,,
Kothagudem School Of Mines,M.e. Complex; Kothagudem Khammam - 507101 Khammam (Dist) Andhra Pradesh,KHAMMAM,Andhra Pradesh,,,
JNTU College of Engineering Godavari,Kakinada Pincode - 533003 East Godavari (Dist) Andhra Pradesh,EAST GODAVARI,Andhra Pradesh,0884-2300900,registrar@jntuk.edu.in,http://www.jntuk.edu.in/
Al-Aman College of Engineering,Gudilova Anandapuram Visakhapatnam Pincode - 531173 Visakhapatnam (Dist) Andhra Pradesh,VISAKHAPATNAM,Andhra Pradesh,,mailus@alameer.in,www.alameer.in
Al Habeeb College of Engineering & Technology,Dammergidda Village Chevella Chevella - 501403 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,+91 40 23372856/ 23391158,ahcet@alhabeebcollege.ac.in// ahcet@rediffmail.com// i,www.alhabeebcollege.ac.in
Malvi Institute Information Technology,Pillalamarri Revenue Village Grampanchayath Board Gandhi Nagar Suryapet - 508213 Nalgonda (Dist) Andhra Pradesh,NALGONDA,Andhra Pradesh,,,
TKR College of Engineering and Technology,Sy.no.8; Medbowli Meerpet Saroornagar Hyderabad - 500035 Hyderabad (Dist) Andhra Pradesh,HYDERABAD,Andhra Pradesh,040-65587536 / 040-65347536,info@tkrcet.ac.in//  tkrcet@rediffmail.com,
K.N.R. College Of Engineering & Technology,Mallampelly Village Mulug(h) Mulugh - 506007 Warangal (Dist) Andhra Pradesh,WARANGAL,Andhra Pradesh,,principal@knrcer.ac.in,
Tirumala Engineering College,S.no. 289;290;296;306; Bogaram Village Kesara Pincode - 500062 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,08647-219083,tecnrt@gmail.com//  tecnrt.alumni@gmail.com,http://www.tmecnrt.org/
ACE Engineering College,Survey No. 175 & 181 Ankushapur Village Ghatkesar Mandal Ghatkesar - 501301 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,,aceenggcollege@gmail.com,www.aceec.ac.in
Vivekananda Institute of Engineering and Technology,Sy.no.50; Bogaram (v) Keesara Mandal Keesara - 501301 Hyderabad (Dist) Andhra Pradesh,HYDERABAD,Andhra Pradesh,9848295544,lakkakulavieb@yahoo.co.in,
Swarnandhra College of Engineering & Technology,Seetharampuram Narasapur Pincode - 534280 West Godavari (Dist) Andhra Pradesh,WEST GODAVARI,Andhra Pradesh,8790294249,sacetp@gmail.com  //   managerhr@swarnandhra.ac.in,http://www.swarnandhra.ac.in/
Maturi Venkata Subba Rao Engineering College,Nadergul (po) Saroornagar Mangal Rangareddy - 501510 Hyderabad (Dist) Andhra Pradesh,HYDERABAD,Andhra Pradesh,08415-244362/ 244867,support@mvsrec.edu.in,www.mvsrec.edu.in
The Younis Sultan College Of Engineering,Mudimiyala Village Chevella Mandal Chevella Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,,,
Vivekananda Institute of Tech & Science Bommakal,Bommakal Karimnagar Karimnagar (Dist) Andhra Pradesh,KARIMNAGAR,Andhra Pradesh,0878-6503861/ 0878-2279181,principal_vits@yahoo.co.in .,http://www.vits.ac.in/
Medak College of Engineering & Technology,Kondapak Village Siddipet Pincode - 502732 Medak (Dist) Andhra Pradesh,MEDAK,Andhra Pradesh,40.24558158,info@medakenggcollege.com,http://www.medakenggcollege.com/
Arjun College of Technology & Science,Sy.no.376/7; Batasingaram (v) Hayath Nagar (m) Hayathnagar Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,9640522234/ 08415 201199/ 08415 201134.,arjun_acts05@yahoo.co.in,www.arjunengg.org
Arkay College of Engineering and Technology,Sivar Achanapally Pandu Tarfa;bodhan Nizamabad - 503180 Nizamabad (Dist) Andhra Pradesh,NIZAMABAD,Andhra Pradesh,08467 25655/ 08467 25656,info@arkaycollege.com,www.arkaycollege.com
Vivekananda Institute Of Tech. & Science,Malkappor Siwar Besides The P.g. College Godavarikhani Karimnagar - 505209 Karimnagar (Dist) Andhra Pradesh,KARIMNAGAR,Andhra Pradesh,,,
Kakatiya Institute of Technology & Science,Opposite Yerragattu Hillock; Bheemaram Mandal; Hasanparthy; Pincode - 506015 Warangal (Dist) Andhra Pradesh,WARANGAL,Andhra Pradesh,1.10E-13,kitswgl@rediffmail.com,www.kitsw.ac.in
Swarnandhra Institute of Engineering & Technology,Seetharampuram Narsapur Pincode - 534280 West Godavari (Dist) Andhra Pradesh,WEST GODAVARI,Andhra Pradesh,+91 8814 240588/ 240599,info@swarnandhra.ac.in,www.swarnandhra.ac.in
Aditya Institute of Technology and Management,K. Kotturu Village Chakapalli Post Tekkali Tekkali - 532201 Srikakulam (Dist) Andhra Pradesh,SRIKAKULAM,Andhra Pradesh,08945-245666,aditya_tekkali@yahoo.com,www.adityatekkali.com
Swarna Bharathi Institute of Science and Technology,Pakabanda Village Khammam Pincode - 507002 Khammam (Dist) Andhra Pradesh,KHAMMAM,Andhra Pradesh,-8652.042056,sbitengg@yahoo.com,http://www.sbit.ac.in/
Avanthi Institute of Engineering and Technology Cherukupally,Cherukupally Panchayat Bhogapuram Mandal Bhogapuram Vizianagaram (Dist) Andhra Pradesh,VIZIANAGARAM,Andhra Pradesh,,info@avanthiportal.com,
Malla Reddy Institute of Technology & Science,Survey No. 640-646; Mysammaguda Gundlapochampally (v) Medchal Pincode - 500014 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,+91-040-6463 4238,info@mrits.ac.in,http://www.mrits.ac.in/
Koneru Lakshmaiah College Of Engineering,Green Fields; Kunchanapalli Post Vaddeswaram Village Tadapalli Guntur - 522502 Guntur (Dist) Andhra Pradesh,GUNTUR,Andhra Pradesh,91-866-2577884,vjwkoneru@sanchar.net.in,http://www.klce.ac.in
